2026-02-16 20:34:39,609 | INFO    | src.pipeline | ============================================================
2026-02-16 20:34:39,611 | INFO    | src.pipeline | TOP APPLICANT — Data Collection Pipeline v1.0.0
2026-02-16 20:34:39,612 | INFO    | src.pipeline | Raw Schema Version: 1.0.0
2026-02-16 20:34:39,612 | INFO    | src.pipeline | Scraper Version: 1.0.0
2026-02-16 20:34:39,613 | INFO    | src.pipeline | Search: 'Data Scientist' | Location: '' | Limit: 100
2026-02-16 20:34:39,615 | INFO    | src.pipeline | Mode: Raw Data Collection Only (No Parsing)
2026-02-16 20:34:39,616 | INFO    | src.pipeline | ============================================================
2026-02-16 20:34:39,619 | INFO    | src.scraping.linkedin_scraper | Loaded 0 existing job IDs to skip.
2026-02-16 20:34:39,620 | INFO    | src.scraping.linkedin_scraper | Phase 1: Scraping up to 100 listings for 'Data Scientist' in ''
2026-02-16 20:34:41,481 | INFO    | src.scraping.linkedin_scraper |   [1] Data Scientist Intern @ Tinder
2026-02-16 20:34:43,782 | INFO    | src.scraping.linkedin_scraper |   [2] Data Scientist II, Growth @ Tinder
2026-02-16 20:34:43,783 | INFO    | src.scraping.linkedin_scraper |   [3] Data Scientist (Entry-Level) @ Why Hiring
2026-02-16 20:34:43,783 | INFO    | src.scraping.linkedin_scraper |   [4] Sr. Staff Data Scientist - LinkedIn Premium @ LinkedIn
2026-02-16 20:34:43,785 | INFO    | src.scraping.linkedin_scraper |   [5] Machine Learning Engineer (L4) - Production Science @ Netflix
2026-02-16 20:34:43,786 | INFO    | src.scraping.linkedin_scraper |   [6] Data Scientist @ Intero Integrity
2026-02-16 20:34:43,786 | INFO    | src.scraping.linkedin_scraper |   [7] Research Scientist @ Aditi Consulting
2026-02-16 20:34:43,787 | INFO    | src.scraping.linkedin_scraper |   [8] Research Data Scientist @ University of Notre Dame
2026-02-16 20:34:43,788 | INFO    | src.scraping.linkedin_scraper |   [9] Research Scientist, Google Cloud AI @ Google
2026-02-16 20:34:43,789 | INFO    | src.scraping.linkedin_scraper |   [10] Data Scientist @ Two Sigma
2026-02-16 20:34:43,791 | INFO    | src.scraping.linkedin_scraper |   [11] Data Scientist @ Veracity Software Inc
2026-02-16 20:34:45,812 | INFO    | src.scraping.linkedin_scraper |   [12] Junior Data Scientist @ Wpromote
2026-02-16 20:34:45,813 | INFO    | src.scraping.linkedin_scraper |   [13] Staff Data Scientist @ LinkedIn
2026-02-16 20:34:45,814 | INFO    | src.scraping.linkedin_scraper |   [14] Data Scientist, Product Analytics @ Meta
2026-02-16 20:34:45,815 | INFO    | src.scraping.linkedin_scraper |   [15] Data Scientist @ System One
2026-02-16 20:34:45,816 | INFO    | src.scraping.linkedin_scraper |   [16] Data Scientist @ PMMC
2026-02-16 20:34:45,818 | INFO    | src.scraping.linkedin_scraper |   [17] Staff Research Scientist @ Waffle Labs
2026-02-16 20:34:45,819 | INFO    | src.scraping.linkedin_scraper |   [18] Data Scientist @ Milestone Technologies, Inc.
2026-02-16 20:34:45,820 | INFO    | src.scraping.linkedin_scraper |   [19] Data Scientist - Fraud @ Plaid
2026-02-16 20:34:45,821 | INFO    | src.scraping.linkedin_scraper |   [20] Data Scientist, Product Analytics @ Meta
2026-02-16 20:34:45,822 | INFO    | src.scraping.linkedin_scraper |   [21] Senior Data Scientist @ Roku
2026-02-16 20:34:47,819 | INFO    | src.scraping.linkedin_scraper |   [22] Machine Learning Engineer @ LHH
2026-02-16 20:34:47,820 | INFO    | src.scraping.linkedin_scraper |   [23] Data Scientist, Lifecycle Marketing @ Wealthfront
2026-02-16 20:34:47,821 | INFO    | src.scraping.linkedin_scraper |   [24] Data Scientist - Strategic Data Solutions @ Apple
